Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
PD_122_R8_S05#1	12060036	6449173	85582	517643	0	0	0	0	930	0	0	0	0	4633942	343077	29689	53.47557005634146	12060036.0	11542393.0	95.71	517643.0	4.29	PD_122_R8_S05#1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12060036.0	0.0	20-100	52.0	18.47843070792749	99.15308130091816	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12060559	4230036	12060559	1206055900	450687	1199656336	0.5306191860592864	0.0173	0.5453	0.4373
PD_122_R9_S05#2	12045388	9013386	60129	493854	0	0	0	0	590	0	0	0	0	1991554	437372	48503	74.82852358097556	12045388.0	11551534.0	95.9	493854.0	4.1	PD_122_R9_S05#2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12045388.0	0.0	20-100	51.0	20.687359358667347	99.18322365373368	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12045848	4117956	12045848	1204584800	554016	1198218277	0.5285242682789953	0.0178	0.4092	0.573
PD_123_R10_S05#	12073474	8645170	67537	505399	0	0	0	0	436	0	0	0	0	2419724	397401	37807	71.60465993466339	12073474.0	11568075.0	95.81	505399.0	4.19	PD_123_R10_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12073474.0	0.0	20-100	51.0	20.081714006435732	99.15025700142311	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12073880	4382411	12073880	1207388000	348028	1201456059	0.4913036240214413	0.017	0.435	0.548
PD_123_R11_S05#	12105305	8054097	61896	569092	0	0	0	0	493	0	0	0	0	2995036	389334	35357	66.53361480772273	12105305.0	11536213.0	95.3	569092.0	4.7	PD_123_R11_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12105305.0	0.0	20-100	51.0	19.640415941479507	99.14602944741996	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12105782	4511096	12105782	1210578200	370428	1204467915	0.5047410402731521	0.0164	0.4819	0.5017
PD_123_R12_S05#	12048552	7839723	62142	569724	0	0	0	0	317	0	0	0	0	3160154	386109	30383	65.0677608396428	12048552.0	11478828.0	95.27	569724.0	4.73	PD_123_R12_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12048552.0	0.0	20-100	51.0	19.475153428208447	99.14988772094772	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12049029	4203515	12049029	1204902900	772666	1198183130	0.5577022015632961	0.0157	0.5026	0.4817
PD_123_R13_S05#	12112027	9020652	121251	501130	0	0	0	0	437	0	0	0	0	1957100	470659	40798	74.47681548266033	12112027.0	11610897.0	95.86	501130.0	4.14	PD_123_R13_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12112027.0	0.0	20-100	51.0	22.16208816903768	99.19011574198107	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12112847	4120322	12112847	1211284700	886973	1204551709	0.5558553657946806	0.0216	0.4311	0.5474
PD_123_R14_S05#	12042471	9059042	53408	476776	0	0	0	0	412	0	0	0	0	1956857	455932	40044	75.22577384658015	12042471.0	11565695.0	96.04	476776.0	3.96	PD_123_R14_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12042471.0	0.0	20-100	51.0	21.1518033319965	99.15358251641211	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12043032	4337332	12043032	1204303200	372508	1198361285	0.4933902857685673	0.0208	0.4365	0.5427
PD_123_R15_S05#	12036682	6024765	229884	541901	0	0	0	0	495	0	0	0	0	4846237	371269	22131	50.05337018955889	12036682.0	11494781.0	95.5	541901.0	4.5	PD_123_R15_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12036682.0	0.0	20-100	52.0	19.2633942559109	99.14624395659868	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12037305	4206599	12037305	1203730500	791582	1196995490	0.559511452106597	0.0307	0.5256	0.4437
PD_123_R16_S05#	12010461	7894887	102341	498988	0	0	0	0	312	0	0	0	0	3071326	408034	34573	65.73342188946786	12010461.0	11511473.0	95.85	498988.0	4.15	PD_123_R16_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12010461.0	0.0	20-100	52.0	22.100935840391696	99.17359175472116	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12010793	4151890	12010793	1201079300	815402	1194417579	0.554644560105232	0.0168	0.4897	0.4934
PD_123_R5_S05#1	12051969	8117274	85160	526399	0	0	0	0	498	0	0	0	0	2841653	442288	38697	67.35226418189426	12051969.0	11525570.0	95.63	526399.0	4.37	PD_123_R5_S05#1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12051969.0	0.0	20-100	51.0	20.1679713618074	99.16995322507051	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12052371	4123058	12052371	1205237100	736501	1198727589	0.5401021093691856	0.017	0.4864	0.4966
PD_123_R6_S05#1	12112256	8351401	75715	488023	0	0	0	0	351	0	0	0	0	2746095	416173	34498	68.95000402897693	12112256.0	11624233.0	95.97	488023.0	4.03	PD_123_R6_S05#1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12112256.0	0.0	20-100	51.0	22.441778785550053	99.18299084827798	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12112753	4196244	12112753	1211275300	767415	1204576139	0.553066755344553	0.0169	0.4854	0.4977
PD_123_R7_S05#1	12134811	8836667	49565	492694	0	0	0	0	440	0	0	0	0	2253590	463999	37856	72.82080454322693	12134811.0	11642117.0	95.94	492694.0	4.06	PD_123_R7_S05#1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12134811.0	0.0	20-100	51.0	21.82787178005803	99.18613367773096	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12135450	4134036	12135450	1213545000	822441	1206879837	0.5492308072630186	0.02	0.4414	0.5386
PD_123_R8_S05#1	12042794	8462754	60831	483208	0	0	0	0	457	0	0	0	0	2575294	422845	37405	70.27234709819	12042794.0	11559586.0	95.99	483208.0	4.01	PD_123_R8_S05#1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12042794.0	0.0	20-100	51.0	20.523921220801647	99.15366417460932	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12043342	4399345	12043342	1204334200	363176	1198375474	0.4947734607221151	0.0179	0.4653	0.5168
PD_123_R9_S05#1	12108526	8879786	57326	541677	0	0	0	0	431	0	0	0	0	2163318	428001	37987	73.3349872643458	12108526.0	11566849.0	95.53	541677.0	4.47	PD_123_R9_S05#1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12108526.0	0.0	20-100	51.0	20.95765776375628	99.15522252667252	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12109006	4370138	12109006	1210900600	354241	1204963724	0.4902859904438068	0.0193	0.4209	0.5598
