Geneid,IC1,IC2,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1,PD_121_R10_S05#,PD_121_R11_S05#,PD_121_R12_S05#,PD_121_R13_S05#,PD_121_R14_S05#,PD_121_R15_S05#,PD_121_R16_S05#,PD_121_R5_S05#2,PD_121_R6_S05#2,PD_121_R7_S05#2,PD_121_R8_S05#2,PD_121_R9_S05#2,PD_122_R10_S05#,PD_122_R11_S05#,PD_122_R12_S05#,PD_122_R13_S05#,PD_122_R14_S05#,PD_122_R15_S05#,PD_122_R16_S05#,PD_122_R5_S05#2,PD_122_R6_S05#2,PD_122_R7_S05#2,PD_122_R8_S05#1,PD_122_R9_S05#2,PD_123_R10_S05#,PD_123_R11_S05#,PD_123_R12_S05#,PD_123_R13_S05#,PD_123_R14_S05#,PD_123_R15_S05#,PD_123_R16_S05#,PD_123_R5_S05#1,PD_123_R6_S05#1,PD_123_R7_S05#1,PD_123_R8_S05#1,PD_123_R9_S05#1
b3974,6.485814291707997,6.1737403519809355,6.717989731638478,6.406741826608272,6.357852384616238,6.213960380284998,6.1876246846040965,6.3808107042201225,6.451496360923463,6.4414413935401855,6.493724971974533,6.392530330467971,6.577148947634765,6.607623203831882,6.545977065692489,6.682827968640287,6.8005262426702995,6.630773010152462,6.6582258376975645,6.265122401033553,6.428085483784672,6.309356461536177,6.573210010860661,6.584708672856847,6.700573015893087,6.524056949110108,6.310818605717379,6.570962516954866,6.783548773575196,6.772290811239458,6.6997395690593455,6.282527035733741,6.807055037721687,6.416257332386244,6.3450467651397595,6.622417013065947,6.649741868786789,6.4224966725989185,6.519120219013036,6.761541184360334,6.387606236408522,6.689616904855564,6.634419339970833,2.580050033691349,6.730565269694861,6.335198251218515,6.530966111693326,6.609735314976402,6.394429973748464,6.437538311838196
b3980,9.868007197327836,10.121489249606585,9.544886278647898,9.904901341396252,9.8144643345779,9.83916183221732,9.620288071350124,9.687153258511758,9.794665612671768,9.596683306794134,9.65590144571509,9.546065026432123,9.653341965180015,9.579451596544926,9.470581270471454,9.996672234641002,9.768132621552073,9.622020668255335,9.53596737411358,9.503735717369883,9.389368848509056,9.335229228063696,9.492140532699764,9.411815177909386,9.520828247885367,9.482335528605454,9.569553349508508,9.85473343914925,9.881299502440333,9.608598342018983,9.570743918963291,9.618790709035485,9.748103738176596,9.387831463053926,9.37232995439381,9.323048940817916,9.373706444122798,9.56360152641656,9.535870214702099,9.995901641588011,9.972114874012266,9.724325896828024,9.477689437550351,4.376112172108665,9.55903408983531,9.643283411383903,9.586726750579174,9.587206948410008,9.596033318886914,9.454165853713198
b3981,10.009206788005379,10.250352786738777,9.78448139537461,9.536628431045576,9.613903034095877,9.586129689051061,9.616925291018843,9.599502332052227,9.817989720032033,9.873726483827712,9.823731823095422,9.83414403880532,9.957500207545879,9.933794735203437,9.908568955880865,9.94613748752172,9.967762044222965,9.835583940462026,9.694290079618641,10.065606801551025,10.104884941606091,9.790324127036444,9.897240495823441,9.792148737320488,9.748786628287297,9.86537098061423,9.965125246723034,9.809382711102426,10.169150028991456,9.843364526570246,9.846719854499389,10.146657854462898,10.367523554240751,9.683954852865263,9.876135895750123,9.761456563322248,9.819848250259989,9.853959259965167,9.729226327419767,9.969559848373878,9.926598477400127,9.716913752225592,9.748003588899962,9.04153866991738,10.272789914697608,9.830836960713961,9.984306463257074,9.712863547950612,9.892440247869924,9.949898174851695
b3982,9.723559454051143,9.753788775995861,9.29094511782059,9.155920435666271,9.254330187772227,9.164359615244011,9.311969835095061,9.308945116694535,9.348325799764226,9.349513139688597,9.195765480429515,9.22242456323145,9.351487910227386,9.250959077810352,9.371865995464372,9.358415258996127,9.333272535153663,9.121384619311112,9.120529117097758,9.498758795928648,9.4650169799699,9.166298611489633,9.16206767633714,9.091077194864777,9.082739357824554,9.344219486187155,9.451498120605091,9.241701589448406,9.48159222188016,9.247493961158074,9.231520332694814,9.681297225083897,9.69442334917483,9.197387081819272,9.368278980423156,9.246183947950604,9.181658082151936,9.24831633978957,9.140656261386692,9.309297029369194,9.314918816832627,9.128699391485107,9.217407103965309,8.554819788584815,9.59180221777512,9.075584674452562,9.19973730880126,9.17055860513761,9.362826600013795,9.31911967666139
b3983,11.235137019286913,11.01449275814253,10.843325089696101,10.945579001168618,11.053469495092402,10.996855189339296,10.967704880841698,11.03379195679977,11.087033019266668,10.672482670341903,10.715409331826999,10.716337863960863,10.77694586220303,10.843465817912028,10.889176082805907,10.837544788390666,11.010734927259204,10.547187677491097,10.673287775343907,11.174126694133282,11.416600482366349,10.674671429983224,10.862485814215141,10.462493096374082,10.631192941155199,10.675922983559822,11.076573438228841,10.756171668317815,10.941983690740283,10.333024235931678,10.610335834925987,11.165743277920404,11.452738178176858,10.604821451265126,10.806087670974183,10.78762804527793,10.366971723932906,10.70971517924879,10.693301098392817,10.728118256360265,10.802222129392568,10.441521433246413,10.682481102512323,5.692604815694753,11.355812156846186,10.760867315696277,10.803225847102617,10.49276275551698,10.513910390573445,10.624683261408833
b3984,11.101540695048289,11.16347759969064,10.63540618753444,10.674824366731809,10.855280563475644,10.78907021002602,10.733940315134415,10.87360257439148,10.984576116241803,10.651972582667955,10.64653919959024,10.664464532389914,10.660807543784989,10.711753466325534,10.734629575943938,10.737506432195715,10.77793809377313,10.410210881089785,10.510026554604082,11.1669523898656,11.213297856607126,10.694723080278361,10.855027177791328,10.429507785587253,10.465861015791093,10.630773779006601,10.989130685665696,10.59132385822379,10.768467768245594,10.187679228869522,10.402881698987224,11.158044927217277,11.252177183639725,10.554562279982559,10.778790252733542,10.608077472766993,10.27252438352694,10.602528375327264,10.497071534910358,10.58371075369561,10.75392639997147,10.209134552227805,10.521505459078083,5.884950244171062,11.204892563302682,10.549391301699714,10.847336373133684,10.341851209045364,10.499507512703044,10.488005635659423
b3985,11.8719008189773,12.35779302412357,11.645077091729222,11.549142569015153,11.59648516496664,11.364382945626177,11.453225157012884,11.419460226033689,11.62119389188311,11.633666636588439,11.524750860593725,11.57581373578241,11.710787821690184,11.785376035254787,11.63429705666328,11.522846485245962,11.699217333984837,11.33827527444328,11.406051339849862,11.937688560164698,12.092188015220025,11.544434032951976,11.773616204553232,11.447143678716216,11.51024647459598,11.513078700403769,11.896787356150957,11.388016632559067,11.694710508012518,11.412155091105008,11.458018708439129,12.01294322837251,12.137278519215158,11.566185438046922,11.7005459700306,11.676408553611601,11.491661088669664,11.503820919480246,11.578167856325003,11.478818417536255,11.589856902764057,11.02152017342639,11.305861708892094,9.734187770714476,12.078936792764903,11.497049211968141,11.764486555972141,11.284187365113679,11.43802664694755,11.422897109172883
b3986,12.238715440304125,12.482575612078463,11.916438994235746,11.562411899350437,11.656802122698362,11.622593731918931,11.664263204117432,11.720421252672201,11.806621502381011,11.818619330086525,11.793008455763392,11.755382743386361,11.895342902680392,11.887799070630917,11.832697512934425,11.755811068349217,11.824477006377597,11.526143910245018,11.653308629007034,12.334722056984212,12.362690616633243,11.851346925818422,12.042282550627796,11.613104481704477,11.682089374605853,11.707426145789693,12.1608278730361,11.666008426925075,11.770327123419415,11.478786624295243,11.717928375887938,12.226878959611433,12.370141056850468,11.71335103253894,11.916068251341212,11.686516738987578,11.61609385282727,11.709043802044265,11.780075840940208,11.752927953486191,11.794146388353582,11.161203166407722,11.572961278056782,9.827842439706753,12.311090517576138,11.677568385597151,12.076319746431903,11.453874979405256,11.707278185689754,11.629711984022897
b3987,9.990050318246643,9.548492375733451,9.185848977611366,9.63393280062278,9.592026879581528,9.621839879363774,9.810034075384692,9.825319316516964,9.748165718967414,9.259865538835513,9.416381960584234,9.371527505097427,9.505433260522036,9.514087876980263,9.189151242253347,9.34573097625439,9.384852486555467,9.248991891290238,9.36674653204863,9.974158530592605,9.879778054437699,8.964646960189064,9.124719680413808,8.830093845071083,9.21658536865967,9.179237821134132,9.11998228496306,9.372357450203415,9.287395050252329,9.13577439251155,9.38177655637096,9.768216245797019,9.666719144319663,8.990987099202988,9.226317087052928,8.778324834914319,8.636339359818493,9.249769568879435,9.263432282836295,9.219929622205884,9.4659721187289,9.334193699379348,9.315974467663183,9.923052744003348,9.791915272516992,9.278155438480745,9.362145062676321,9.278981996389081,9.169987073613246,9.220887348381163
b3988,9.691468376158193,9.625305214205714,9.023390232852186,9.467740191084575,9.477049930564485,9.462473629173022,9.663361619457788,9.51171143092263,9.595697638636175,9.149129817174535,9.188204041006196,9.182131005922809,9.24630467477254,9.279698640792216,9.07420446521336,9.234788905916986,9.35034370805089,9.145092295370898,9.204032413049733,9.774311491032263,9.78229685709669,9.0241473332079,9.2111392420027,8.920827436289649,9.085548720325653,9.064329236185694,9.043436326552984,9.111665520259486,9.26819692453329,9.001898286323753,9.223162400847986,9.711853766141953,9.631992417922573,8.941203119276176,9.168295029078141,8.83071416436375,8.818941857609357,9.11125418994342,9.177076068851903,9.135698607340897,9.383138112158964,9.060515592816497,9.18891563867563,9.296587160898305,9.65045664262088,9.097834789027463,9.336865961749423,9.061448087874977,9.164942859086754,9.088720392302339
